Quantity,UnitPrice,total_amount
2,1.25,2.5
1,2.51,2.51
1,5.91,5.91
10,6.75,67.5
4,0.85,3.4
6,2.1,12.600000000000001
-6,2.95,-17.700000000000003
4,4.21,16.84
4,12.75,51.0
4,3.75,15.0
6,2.1,12.600000000000001
2,3.75,7.5
2,4.21,8.42
1,2.51,2.51
-9,2.55,-22.95
1,16.95,16.95
8,2.95,23.6
1,1.65,1.65
3,1.65,4.949999999999999
1,9.95,9.95
1,2.51,2.51
2,12.75,25.5
12,1.65,19.799999999999997
12,1.25,15.0
6,4.95,29.700000000000003
1,1.66,1.66
5,1.28,6.4
3,0.85,2.55
1,5.91,5.91
8,3.75,30.0
1,1.65,1.65
5,0.85,4.25
1,3.75,3.75
3,2.51,7.529999999999999
2,3.36,6.72
16,1.95,31.2
2,1.25,2.5
3,1.65,4.949999999999999
12,1.25,15.0
1,3.36,3.36
3,0.85,2.55
12,0.42,5.04
3,1.25,3.75
6,1.95,11.7
18,2.95,53.1
20,1.65,33.0
48,0.42,20.16
6,2.95,17.700000000000003
10,1.65,16.5
8,0.0,0.0
3,6.35,19.049999999999997
5,4.65,23.25
1,16.98,16.98
2,5.91,11.82
1,8.47,8.47
3,0.85,2.55
8,1.69,13.52
6,4.95,29.700000000000003
6,4.21,25.259999999999998
4,42.95,171.8
7,2.13,14.91
12,1.25,15.0
1,4.21,4.21
3,7.95,23.85
20,0.42,8.4
1,8.47,8.47
2,1.25,2.5
20,1.65,33.0
24,0.42,10.08
3,0.55,1.6500000000000001
1,8.47,8.47
6,2.95,17.700000000000003
1,5.95,5.95
10,1.95,19.5
4,1.25,5.0
1,2.51,2.51
2,6.35,12.7
1,2.51,2.51
12,0.85,10.2
8,3.75,30.0
8,1.65,13.2
1,2.1,2.1
12,0.85,10.2
2,1.25,2.5
8,1.95,15.6
1,7.95,7.95
12,1.45,17.4
3,5.95,17.85
8,1.69,13.52
1,14.43,14.43
4,7.95,31.8
2,8.47,16.94
4,4.21,16.84
6,2.1,12.600000000000001
36,1.65,59.4
24,0.85,20.4
1,1.66,1.66
6,1.65,9.899999999999999
2,3.75,7.5
7,0.43,3.01
1,9.95,9.95
2,0.85,1.7
24,1.45,34.8
1,3.36,3.36
1,9.95,9.95
5,1.65,8.25
1,2.51,2.51
1,1.28,1.28
1,1.66,1.66
2,3.75,7.5
10,2.1,21.0
6,1.25,7.5
8,3.75,30.0
1,4.24,4.24
1,4.21,4.21
3,2.13,6.39
24,0.65,15.600000000000001
4,3.75,15.0
4,1.66,6.64
8,1.25,10.0
2,1.25,2.5
1,1.95,1.95
2,2.55,5.1
36,1.25,45.0
1,1.66,1.66
1,2.51,2.51
4,3.36,13.44
14,2.1,29.400000000000002
1,1.95,1.95
12,2.95,35.400000000000006
6,2.95,17.700000000000003
1,11.02,11.02
2,1.45,2.9
14,1.25,17.5
2,7.95,15.9
1,1.28,1.28
1,4.25,4.25
1,2.1,2.1
1,13.57,13.57
12,0.29,3.4799999999999995
1,1.65,1.65
1,2.11,2.11
3,6.95,20.85
1,5.06,5.06
2,4.25,8.5
28,1.66,46.48
1,3.36,3.36
18,0.2,3.6
1,7.95,7.95
2,7.95,15.9
2,1.25,2.5
10,2.55,25.5
1,9.95,9.95
5,2.1,10.5
2,9.95,19.9
24,2.55,61.199999999999996
2,3.95,7.9
1,0.81,0.81
1,5.09,5.09
1,3.36,3.36
24,2.55,61.199999999999996
3,4.65,13.950000000000001
1,3.36,3.36
1,3.75,3.75
5,0.85,4.25
1,4.21,4.21
3,0.85,2.55
1,1.69,1.69
2,8.47,16.94
6,4.25,25.5
1,2.95,2.95
12,1.65,19.799999999999997
1,21.23,21.23
1,3.36,3.36
12,1.95,23.4
1,0.65,0.65
1,9.95,9.95
3,1.95,5.85
2,4.21,8.42
3,1.65,4.949999999999999
1,2.51,2.51
1,3.25,3.25
3,0.42,1.26
1,3.75,3.75
1,1.65,1.65
3,2.95,8.850000000000001
3,0.85,2.55
7,5.91,41.370000000000005
24,1.25,30.0
4,25.49,101.96
8,1.28,10.24
1,0.29,0.29
1,3.36,3.36
5,1.65,8.25
1,1.28,1.28
8,1.69,13.52
1,1.95,1.95
5,0.65,3.25
2,2.1,4.2
1,2.55,2.55
-1,4.65,-4.65
2,5.06,10.12
1,2.51,2.51
1,5.51,5.51
2,7.62,15.24
1,3.75,3.75
4,9.95,39.8
2,3.75,7.5
24,0.85,20.4
6,2.95,17.700000000000003
50,2.1,105.0
4,5.91,23.64
2,3.75,7.5
8,2.1,16.8
1,3.75,3.75
12,1.65,19.799999999999997
1,4.25,4.25
1,3.36,3.36
24,0.65,15.600000000000001
2,3.75,7.5
1,822.94,822.94
1,2.1,2.1
1,8.47,8.47
4,3.75,15.0
1,2.51,2.51
1,11.87,11.87
1,5.91,5.91
6,2.55,15.299999999999999
12,1.95,23.4
24,0.19,4.5600000000000005
2,7.95,15.9
1,16.95,16.95
-1,1.65,-1.65
2,2.51,5.02
12,1.25,15.0
5,2.51,12.549999999999999
-3,1.25,-3.75
3,5.91,17.73
26,5.91,153.66
12,2.1,25.200000000000003
12,1.25,15.0
12,0.3,3.5999999999999996
8,7.65,61.2
2,7.95,15.9
2,2.55,5.1
6,2.95,17.700000000000003
1,1.25,1.25
4,2.95,11.8
8,2.95,23.6
2,1.25,2.5
1,1.65,1.65
12,0.85,10.2
1,1.25,1.25
8,3.75,30.0
-9,0.0,-0.0
3,4.95,14.850000000000001
4,1.95,7.8
20,1.65,33.0
2,0.85,1.7
2,2.51,5.02
1,16.98,16.98
2,3.36,6.72
3,3.36,10.08
1,1.65,1.65
2,8.5,17.0
24,0.5,12.0
1,9.95,9.95
6,1.45,8.7
7,1.66,11.62
48,0.55,26.400000000000002
4,0.85,3.4
10,1.65,16.5
20,1.25,25.0
12,1.25,15.0
50,1.25,62.5
50,1.45,72.5
24,0.65,15.600000000000001
24,0.55,13.200000000000001
12,2.1,25.200000000000003
3,1.66,4.9799999999999995
12,0.85,10.2
12,1.25,15.0
2,1.66,3.32
12,1.25,15.0
3,8.47,25.410000000000004
6,0.85,5.1
2,5.06,10.12
12,1.25,15.0
24,1.25,30.0
1,21.23,21.23
2,0.85,1.7
1,5.91,5.91
2,0.85,1.7
1,4.95,4.95
1,2.96,2.96
20,0.65,13.0
2,7.95,15.9
24,2.95,70.80000000000001
12,1.25,15.0
1,4.21,4.21
36,0.21,7.56
2,4.21,8.42
4,4.95,19.8
6,1.25,7.5
24,3.39,81.36
2,4.95,9.9
6,2.95,17.700000000000003
1,4.21,4.21
3,3.75,11.25
2,3.36,6.72
24,3.39,81.36
2,7.95,15.9
1,2.95,2.95
30,1.65,49.5
-1,0.85,-0.85
10,4.21,42.1
1,5.51,5.51
2,2.1,4.2
6,1.25,7.5
2,2.1,4.2
1,1.66,1.66
1,5.91,5.91
10,1.65,16.5
4,3.75,15.0
1,0.85,0.85
5,1.25,6.25
2,1.66,3.32
1,1.66,1.66
8,0.43,3.44
1,0.85,0.85
1,12.72,12.72
1,3.75,3.75
1,14.43,14.43
8,0.42,3.36
2,11.02,22.04
8,14.95,119.6
1,2.1,2.1
1,1.28,1.28
4,1.05,4.2
1,2.51,2.51
1,0.85,0.85
1,3.36,3.36
1,4.95,4.95
5,1.25,6.25
8,0.43,3.44
1,5.95,5.95
6,1.65,9.899999999999999
6,2.55,15.299999999999999
1,8.47,8.47
6,4.21,25.259999999999998
2,5.91,11.82
1,4.21,4.21
2,9.95,19.9
1,4.21,4.21
2,11.87,23.74
3,3.75,11.25
1,1.26,1.26
4,1.66,6.64
7,0.85,5.95
25,0.42,10.5
13,2.51,32.629999999999995
16,1.65,26.4
1,0.85,0.85
24,1.45,34.8
2,1.25,2.5
4,3.75,15.0
1,3.36,3.36
1488,2.55,3794.3999999999996
1,3.36,3.36
100,1.65,165.0
1,3.75,3.75
2,4.25,8.5
2,1.25,2.5
72,0.72,51.839999999999996
3,5.95,17.85
1,2.1,2.1
2,2.95,5.9
12,2.95,35.400000000000006
2,1.66,3.32
1,0.85,0.85
72,1.06,76.32000000000001
7,2.55,17.849999999999998
1,2.95,2.95
2,8.47,16.94
1,7.95,7.95
1,8.5,8.5
2,2.51,5.02
4,1.69,6.76
72,8.5,612.0
1,0.0,0.0
12,2.95,35.400000000000006
24,0.42,10.08
1,3.36,3.36
8,0.43,3.44
2,0.85,1.7
5,1.66,8.299999999999999
1,2.55,2.55
1,4.21,4.21
12,0.85,10.2
4,14.95,59.8
1,2.51,2.51
12,1.65,19.799999999999997
1,1.25,1.25
1,2.95,2.95
2,1.25,2.5
1,2.11,2.11
10,1.95,19.5
3,5.95,17.85
1,2.1,2.1
10,0.85,8.5
3,0.85,2.55
3,7.95,23.85
1,2.95,2.95
1,1.66,1.66
12,2.1,25.200000000000003
10,1.65,16.5
2,3.95,7.9
1,7.62,7.62
48,0.85,40.8
1,5.09,5.09
2,2.95,5.9
1,2.25,2.25
1,2.95,2.95
1,14.43,14.43
2,8.5,17.0
8,1.65,13.2
3,4.65,13.950000000000001
2,1.66,3.32
1,4.21,4.21
144,1.25,180.0
5,1.65,8.25
1,1.65,1.65
1,1.25,1.25
36,0.42,15.12
6,1.25,7.5
24,0.85,20.4
2,12.75,25.5
1,6.77,6.77
12,1.45,17.4
108,0.21,22.68
6,2.55,15.299999999999999
1,0.85,0.85
72,1.06,76.32000000000001
3,3.36,10.08
1,2.1,2.1
8,2.95,23.6
3,2.55,7.6499999999999995
1,1.65,1.65
1,5.95,5.95
1,1.25,1.25
9,3.36,30.24
6,0.0,0.0
16,2.95,47.2
1,2.96,2.96
2,1.65,3.3
7,2.1,14.700000000000001
3,3.75,11.25
12,2.95,35.400000000000006
2,7.5,15.0
6,3.25,19.5
2,1.45,2.9
200,2.95,590.0
2,10.17,20.34
1,2.95,2.95
2,1.25,2.5
1,6.75,6.75
-4,7.95,-31.8
4,2.95,11.8
4,3.75,15.0
48,1.25,60.0
2,7.62,15.24
1,2.1,2.1
5,9.32,46.6
7,1.66,11.62
2,5.91,11.82
6,2.95,17.700000000000003
48,0.42,20.16
4,2.95,11.8
4,1.65,6.6
2,2.51,5.02
6,2.55,15.299999999999999
2,3.36,6.72
24,1.25,30.0
2,0.55,1.1
3,1.66,4.9799999999999995
1,13.57,13.57
3,3.36,10.08
1,1.66,1.66
1,0.85,0.85
1,10.95,10.95
2,2.1,4.2
18,3.75,67.5
11,2.51,27.61
1,7.95,7.95
2,3.75,7.5
1,16.98,16.98
1,2.95,2.95
3,1.28,3.84
1,229.74,229.74
1,4.21,4.21
5,4.65,23.25
4,5.91,23.64
10,0.85,8.5
1,7.62,7.62
1,5.91,5.91
1,3.36,3.36
12,1.25,15.0
20,0.42,8.4
10,1.65,16.5
24,0.85,20.4
3,2.51,7.529999999999999
1,2.95,2.95
36,0.65,23.400000000000002
1,5.95,5.95
6,2.95,17.700000000000003
2,2.95,5.9
2,2.95,5.9
24,3.39,81.36
2,2.95,5.9
2,1.66,3.32
1,11.87,11.87
1,7.95,7.95
12,2.51,30.119999999999997
1,2.51,2.51
1,0.42,0.42
2,7.95,15.9
1,2.51,2.51
4,2.51,10.04
3,5.06,15.18
30,6.75,202.5
1,3.36,3.36
3,0.85,2.55
4,1.25,5.0
24,3.75,90.0
1,8.47,8.47
2,1.65,3.3
30,0.72,21.599999999999998
1,0.85,0.85
8,2.95,23.6
7,3.36,23.52
1,2.55,2.55
1,2.51,2.51
1,7.62,7.62
12,1.65,19.799999999999997
1,1.25,1.25
1,0.0,0.0
1,0.0,0.0
2,0.84,1.68
1,0.85,0.85
2,3.36,6.72
4,1.65,6.6
1,1.45,1.45
1,2.51,2.51
-12,2.95,-35.400000000000006
48,1.25,60.0
3,1.45,4.35
1,2.95,2.95
8,3.75,30.0
4,8.95,35.8
1,5.06,5.06
1,3.36,3.36
2,1.66,3.32
2,1.25,2.5
9,1.66,14.94
2,8.5,17.0
12,1.65,19.799999999999997
12,8.47,101.64000000000001
5,1.65,8.25
1,0.85,0.85
2,8.47,16.94
1,7.95,7.95
24,0.85,20.4
5,0.85,4.25
24,0.85,20.4
2,5.91,11.82
1,1.28,1.28
3,0.43,1.29
4,3.75,15.0
4,3.75,15.0
2,5.95,11.9
12,1.65,19.799999999999997
6,2.95,17.700000000000003
1,29.79,29.79
1,0.85,0.85
1,3.75,3.75
9,1.66,14.94
10,1.25,12.5
12,1.25,15.0
48,0.42,20.16
3,1.95,5.85
2,8.47,16.94
1,2.51,2.51
12,1.25,15.0
3,4.95,14.850000000000001
2,1.28,2.56
40,1.69,67.6
144,1.69,243.35999999999999
1,2.1,2.1
24,1.25,30.0
1,5.06,5.06
2,20.38,40.76
3,3.75,11.25
7,7.62,53.34
2,2.51,5.02
2,2.1,4.2
1,7.95,7.95
2,1.95,3.9
24,0.55,13.200000000000001
3,5.95,17.85
2,5.91,11.82
1,1.95,1.95
1,2.51,2.51
6,1.95,11.7
6,1.25,7.5
10,1.65,16.5
1,2.11,2.11
4,1.66,6.64
1,2.55,2.55
1,5.91,5.91
1,3.36,3.36
-2,8.5,-17.0
1,5.91,5.91
7,0.85,5.95
2,7.95,15.9
1,4.21,4.21
-2,14.95,-29.9
4,1.65,6.6
1,1.66,1.66
1,16.98,16.98
7,1.66,11.62
25,0.55,13.750000000000002
4,3.36,13.44
24,3.75,90.0
2,0.85,1.7
6,2.95,17.700000000000003
2,1.66,3.32
12,1.25,15.0
12,0.85,10.2
1,1.69,1.69
12,2.95,35.400000000000006
12,0.85,10.2
12,1.95,23.4
24,2.55,61.199999999999996
6,7.95,47.7
4,2.1,8.4
3,2.95,8.850000000000001
6,2.55,15.299999999999999
1,0.65,0.65
2,8.5,17.0
2,11.02,22.04
1,1.28,1.28
2,3.75,7.5
2,2.51,5.02
1,11.87,11.87
1,4.21,4.21
1,10.17,10.17
3,3.36,10.08
1,4.21,4.21
6,2.95,17.700000000000003
22,5.06,111.32
3,2.51,7.529999999999999
30,0.0,0.0
1,0.65,0.65
10,1.65,16.5
8,5.91,47.28
10,1.65,16.5
1,1.66,1.66
1,0.42,0.42
12,1.25,15.0
1,1.65,1.65
6,5.91,35.46
1,3.36,3.36
2,6.77,13.54
1,0.85,0.85
1,2.51,2.51
3,12.75,38.25
6,3.75,22.5
2,8.47,16.94
2,1.25,2.5
3,1.25,3.75
2,3.25,6.5
10,0.21,2.1
1,7.62,7.62
4,4.95,19.8
1,0.42,0.42
12,1.65,19.799999999999997
36,1.65,59.4
2,1.66,3.32
24,0.42,10.08
1,2.51,2.51
1,7.95,7.95
12,0.85,10.2
1,4.95,4.95
4,4.25,17.0
12,1.45,17.4
4,5.95,23.8
6,1.25,7.5
1,0.84,0.84
1,2.51,2.51
1,1.25,1.25
1,0.85,0.85
12,1.25,15.0
2,4.21,8.42
3,2.51,7.529999999999999
1,9.95,9.95
6,2.95,17.700000000000003
20,1.65,33.0
1,0.43,0.43
4,0.81,3.24
1,2.95,2.95
2,5.06,10.12
32,0.42,13.44
2,1.28,2.56
12,1.25,15.0
32,0.85,27.2
3,5.95,17.85
1,2.51,2.51
24,0.55,13.200000000000001
1,3.75,3.75
1,0.29,0.29
8,4.95,39.6
2,0.55,1.1
12,0.65,7.800000000000001
1,4.21,4.21
1,1.66,1.66
2,0.43,0.86
1,1.45,1.45
12,1.49,17.88
25,0.42,10.5
1,2.51,2.51
12,1.45,17.4
2,0.65,1.3
1,2.95,2.95
4,3.75,15.0
2,3.36,6.72
1,8.47,8.47
16,1.95,31.2
1,3.36,3.36
1,0.84,0.84
24,1.25,30.0
6,2.95,17.700000000000003
1,4.21,4.21
12,1.45,17.4
5,0.43,2.15
12,1.25,15.0
8,4.65,37.2
3,3.25,9.75
3,1.25,3.75
144,1.45,208.79999999999998
2,8.47,16.94
24,1.25,30.0
24,3.39,81.36
1,7.62,7.62
6,3.75,22.5
32,0.85,27.2
12,1.45,17.4
16,10.95,175.2
1,1.66,1.66
12,3.95,47.400000000000006
48,1.25,60.0
1,1.65,1.65
6,2.55,15.299999999999999
1,3.75,3.75
6,4.25,25.5
4,7.95,31.8
1,1.66,1.66
4,3.75,15.0
1,4.21,4.21
8,2.95,23.6
3,1.65,4.949999999999999
4,3.75,15.0
6,1.25,7.5
7,5.91,41.370000000000005
8,1.49,11.92
12,0.42,5.04
1,7.62,7.62
1,3.75,3.75
1,4.21,4.21
1,25.49,25.49
72,0.42,30.24
1,1.95,1.95
2,2.95,5.9
3,2.1,6.300000000000001
1,2.55,2.55
3,0.85,2.55
24,0.85,20.4
8,1.95,15.6
1,4.95,4.95
12,1.95,23.4
-4,3.75,-15.0
2,4.21,8.42
10,1.25,12.5
3,0.85,2.55
1,1.28,1.28
1,2.95,2.95
6,1.28,7.68
3,1.66,4.9799999999999995
1,6.75,6.75
12,5.55,66.6
1,1.25,1.25
20,1.95,39.0
2,2.51,5.02
12,2.1,25.200000000000003
1,7.62,7.62
4,3.75,15.0
1,3.35,3.35
1,12.72,12.72
8,1.25,10.0
6,1.95,11.7
4,0.65,2.6
3,5.91,17.73
3,3.75,11.25
36,1.65,59.4
2,1.25,2.5
24,1.65,39.599999999999994
1,1.45,1.45
4,3.45,13.8
2,3.36,6.72
48,0.85,40.8
2,7.95,15.9
5,2.51,12.549999999999999
2,2.95,5.9
1,4.21,4.21
2,7.95,15.9
4,8.5,34.0
48,0.85,40.8
1,1.95,1.95
2,4.21,8.42
12,1.25,15.0
2,6.75,13.5
1,5.95,5.95
24,1.95,46.8
1,4.21,4.21
1,1.25,1.25
2,4.21,8.42
6,2.95,17.700000000000003
1,5.91,5.91
1,5.91,5.91
1,2.95,2.95
1,2.1,2.1
1,7.95,7.95
6,2.95,17.700000000000003
1,2.1,2.1
40,0.42,16.8
3,4.21,12.629999999999999
6,1.95,11.7
8,3.95,31.6
2,8.5,17.0
7,2.51,17.57
6,7.95,47.7
12,0.85,10.2
2,9.95,19.9
1,9.95,9.95
1,4.21,4.21
1,2.98,2.98
2,4.25,8.5
2,1.95,3.9
3,1.25,3.75
12,0.85,10.2
200,0.72,144.0
12,2.95,35.400000000000006
24,0.85,20.4
1,5.06,5.06
1,1.66,1.66
1,12.72,12.72
1,0.29,0.29
1,2.13,2.13
1,2.51,2.51
1,1.25,1.25
2,5.91,11.82
1394,0.55,766.7
2,7.95,15.9
3,7.95,23.85
432,1.45,626.4
2,6.35,12.7
1,3.36,3.36
20,0.85,17.0
1,8.07,8.07
1,1.65,1.65
1,4.21,4.21
4,5.91,23.64
4,7.95,31.8
24,0.55,13.200000000000001
2,2.55,5.1
12,1.25,15.0
1,8.47,8.47
3,2.95,8.850000000000001
1,0.85,0.85
2,8.95,17.9
3,2.51,7.529999999999999
2,3.36,6.72
2,16.98,33.96
1,1.25,1.25
1,8.5,8.5
1,7.62,7.62
2,5.95,11.9
96,0.65,62.400000000000006
-2,3.75,-7.5
8,2.1,16.8
1,2.98,2.98
2,7.95,15.9
2,1.65,3.3
3,0.29,0.8699999999999999
5,0.85,4.25
6,2.1,12.600000000000001
6,1.66,9.959999999999999
1,16.98,16.98
1,3.36,3.36
12,2.1,25.200000000000003
2,2.51,5.02
12,1.45,17.4
6,2.55,15.299999999999999
2,5.91,11.82
2,0.85,1.7
2,5.91,11.82
1,5.06,5.06
1,1.45,1.45
3,2.51,7.529999999999999
4,1.65,6.6
6,2.95,17.700000000000003
4,3.75,15.0
1,4.95,4.95
1,0.85,0.85
48,1.69,81.12
24,0.55,13.200000000000001
4,3.75,15.0
32,2.55,81.6
1,11.87,11.87
2,2.95,5.9
1,2.1,2.1
1,4.21,4.21
40,2.55,102.0
12,1.95,23.4
4,4.25,17.0
20,2.12,42.400000000000006
2,5.91,11.82
2,3.36,6.72
6,2.51,15.059999999999999
1,21.23,21.23
24,0.38,9.120000000000001
48,0.21,10.08
1,3.36,3.36
8,4.65,37.2
2,1.65,3.3
4,3.95,15.8
1,9.95,9.95
1,2.51,2.51
2,2.55,5.1
3,4.21,12.629999999999999
48,3.39,162.72
36,0.85,30.599999999999998
6,2.95,17.700000000000003
2,1.66,3.32
12,1.25,15.0
10,6.75,67.5
1,2.95,2.95
1,5.06,5.06
6,2.55,15.299999999999999
5,7.95,39.75
2,5.95,11.9
1,0.65,0.65
1,11.02,11.02
1,4.21,4.21
1,8.07,8.07
1,5.91,5.91
6,2.55,15.299999999999999
2,7.95,15.9
36,2.1,75.60000000000001
3,2.95,8.850000000000001
8,10.95,87.6
144,0.72,103.67999999999999
12,1.65,19.799999999999997
50,4.65,232.50000000000003
1,8.5,8.5
3,2.1,6.300000000000001
1,3.36,3.36
2,2.95,5.9
-3,1.65,-4.949999999999999
5,0.85,4.25
1,2.51,2.51
4,3.75,15.0
2,1.25,2.5
2,3.95,7.9
1,2.51,2.51
1,3.45,3.45
1,6.75,6.75
6,3.25,19.5
12,0.65,7.800000000000001
72,1.25,90.0
3,5.06,15.18
2,2.51,5.02
2,4.21,8.42
2,0.85,1.7
1,12.75,12.75
1,11.02,11.02
1,1.95,1.95
5,7.62,38.1
6,8.5,51.0
2,0.81,1.62
6,5.95,35.7
4,1.65,6.6
4,3.36,13.44
1,1.95,1.95
5,3.75,18.75
6,4.21,25.259999999999998
8,10.95,87.6
1,3.36,3.36
144,0.72,103.67999999999999
3,4.21,12.629999999999999
1,2.51,2.51
2,0.85,1.7
-4,3.75,-15.0
6,2.95,17.700000000000003
192,1.25,240.0
6,5.95,35.7
2,4.21,8.42
40,2.55,102.0
12,1.25,15.0
1,1.66,1.66
1,3.36,3.36
20,1.95,39.0
1,3.45,3.45
1,0.85,0.85
6,2.55,15.299999999999999
1,2.95,2.95
4,3.75,15.0
2,2.1,4.2
24,0.19,4.5600000000000005
16,3.36,53.76
2,7.95,15.9
1,1.25,1.25
2,7.95,15.9
1,11.02,11.02
-1,5.95,-5.95
3,5.95,17.85
12,1.25,15.0
1,6.77,6.77
2,11.02,22.04
1,4.21,4.21
6,5.06,30.36
24,1.95,46.8
1,16.13,16.13
24,0.85,20.4
3,1.95,5.85
1,1.25,1.25
2,9.95,19.9
1,8.49,8.49
3,4.95,14.850000000000001
1,0.43,0.43
1,2.51,2.51
1,1.25,1.25
1,3.36,3.36
12,1.25,15.0
1,21.23,21.23
100,1.65,165.0
1,2.55,2.55
2,4.21,8.42
1,5.06,5.06
3,4.95,14.850000000000001
12,0.42,5.04
1,9.32,9.32
1,1.25,1.25
12,6.95,83.4
4,4.25,17.0
4,3.75,15.0
2,1.66,3.32
5,2.13,10.649999999999999
2,2.51,5.02
12,0.42,5.04
1,0.85,0.85
1,2.95,2.95
4,4.65,18.6
12,1.45,17.4
1,1.25,1.25
2,8.47,16.94
4,1.65,6.6
8,0.43,3.44
2,4.21,8.42
8,1.25,10.0
1,4.21,4.21
12,1.45,17.4
1,0.85,0.85
4,1.25,5.0
12,2.55,30.599999999999998
2,4.21,8.42
18,1.45,26.099999999999998
12,1.05,12.600000000000001
1,4.21,4.21
1,3.75,3.75
4,4.25,17.0
2,2.95,5.9
12,1.95,23.4
24,1.65,39.599999999999994
3,0.85,2.55
2,5.95,11.9
2,0.85,1.7
1,4.21,4.21
2,7.95,15.9
3,1.66,4.9799999999999995
2,2.1,4.2
12,1.65,19.799999999999997
6,2.95,17.700000000000003
6,3.75,22.5
1,0.29,0.29
1,3.36,3.36
6,2.95,17.700000000000003
2,2.1,4.2
6,11.87,71.22
76,1.65,125.39999999999999
1,7.62,7.62
2,8.5,17.0
3,0.85,2.55
24,0.42,10.08
12,2.95,35.400000000000006
48,0.65,31.200000000000003
1,3.36,3.36
1,1.95,1.95
72,0.55,39.6
6,2.51,15.059999999999999
12,1.25,15.0
4,3.75,15.0
2,4.95,9.9
8,1.65,13.2
16,0.85,13.6
2,7.95,15.9
24,1.25,30.0
6,1.95,11.7
4,1.25,5.0
2,1.25,2.5
12,5.55,66.6
1,4.21,4.21
8,0.85,6.8
6,2.95,17.700000000000003
3,12.75,38.25
7,0.85,5.95
1,2.95,2.95
1,3.75,3.75
12,1.65,19.799999999999997
40,1.95,78.0
10,1.95,19.5
3,1.25,3.75
2,34.0,68.0
4,0.42,1.68
1,4.95,4.95
25,0.42,10.5
5,0.85,4.25
32,2.51,80.32
6,3.75,22.5
2,16.13,32.26
3,8.95,26.849999999999998
24,0.42,10.08
2,4.21,8.42
3,4.21,12.629999999999999
2,5.91,11.82
1,3.75,3.75
1,4.21,4.21
3,2.1,6.300000000000001
1,2.95,2.95
6,0.81,4.86
1,1.25,1.25
1,14.95,14.95
72,0.42,30.24
1,8.5,8.5
-2,0.85,-1.7
3,25.49,76.47
2,21.23,42.46
12,1.25,15.0
-6,0.42,-2.52
6,2.1,12.600000000000001
1,5.91,5.91
36,1.65,59.4
6,3.75,22.5
5,1.65,8.25
-3,2.55,-7.6499999999999995
1,4.95,4.95
2,3.95,7.9
12,1.49,17.88
